EntropySampling_run_1,EntropySampling_run_2,EntropySampling_run_3,EntropySampling_run_4,EntropySampling_run_5,EntropySampling_run_6,EntropySampling_run_7,EntropySampling_run_8,EntropySampling_run_9,EntropySampling_run_10
0.413,0.5332,0.2412,0.1932,0.4407,0.4205,0.4013,0.3612,0.3341,0.4777
0.3389,0.2643,0.4101,0.423,0.3163,0.428,0.4848,0.3216,0.4292,0.4041
0.5518,0.1798,0.4055,0.4578,0.458,0.3478,0.4789,0.5638,0.317,0.4718
0.4342,0.4678,0.487,0.5568,0.2593,0.484,0.2643,0.443,0.4628,0.5009
0.4299,0.474,0.4751,0.3072,0.518,0.4996,0.3088,0.4623,0.5675,0.4961
0.4813,0.5518,0.5785,0.4495,0.5615,0.5516,0.494,0.5682,0.266,0.3944
0.5695,0.5,0.5378,0.6087,0.6068,0.2562,0.5599,0.4029,0.4958,0.4377
0.484,0.5005,0.5573,0.5262,0.5541,0.5608,0.4434,0.6106,0.5471,0.517
0.592,0.499,0.6165,0.4358,0.579,0.5244,0.549,0.5877,0.5779,0.5591
0.5204,0.4579,0.6072,0.5332,0.6312,0.5749,0.4956,0.4326,0.5764,0.4898
0.567,0.6007,0.5036,0.5667,0.6054,0.5557,0.5359,0.5692,0.6222,0.4908
0.6373,0.5965,0.6039,0.5987,0.5583,0.5432,0.5546,0.5841,0.5623,0.5304
0.5675,0.5684,0.6409,0.5512,0.5984,0.5528,0.6191,0.6588,0.499,0.573
0.579,0.5017,0.6194,0.6282,0.6142,0.6264,0.5969,0.6474,0.592,0.5553
0.6312,0.5256,0.637,0.6139,0.6265,0.5472,0.6542,0.5333,0.6288,0.6107
0.6636,0.5497,0.6275,0.5283,0.5461,0.6536,0.578,0.5771,0.6426,0.4894
0.6031,0.6215,0.6144,0.4249,0.5641,0.6375,0.6078,0.6306,0.613,0.5636
0.5873,0.6507,0.6296,0.5489,0.6422,0.6617,0.6116,0.6255,0.6034,0.5733
0.6745,0.6253,0.6138,0.6282,0.6376,0.6949,0.5926,0.6208,0.6439,0.6138
0.6196,0.6181,0.466,0.6427,0.6702,0.6398,0.619,0.5655,0.4827,0.6154
0.6473,0.5986,0.6583,0.6761,0.7005,0.6701,0.6348,0.6095,0.6092,0.6667
0.6288,0.6553,0.6529,0.6228,0.6215,0.6674,0.6447,0.5877,0.5778,0.6238
0.6988,0.6568,0.6178,0.641,0.6336,0.634,0.6043,0.6609,0.6114,0.6793
0.6874,0.6651,0.6407,0.6777,0.6619,0.6828,0.6341,0.6063,0.6461,0.6492
0.6789,0.6578,0.6881,0.7055,0.6642,0.7077,0.6539,0.5299,0.6842,0.679
0.6926,0.7017,0.6602,0.6854,0.621,0.6241,0.6698,0.6749,0.6543,0.6497
0.6716,0.687,0.6372,0.6838,0.6818,0.6467,0.7031,0.6539,0.6486,0.7034
0.6556,0.693,0.6802,0.7028,0.6887,0.7044,0.6763,0.6693,0.7047,0.6451
0.6607,0.5703,0.6797,0.6397,0.6706,0.684,0.6679,0.6638,0.6693,0.7174
0.6699,0.6996,0.6638,0.6895,0.6897,0.6652,0.6872,0.6631,0.7035,0.7007
0.6441,0.6452,0.7009,0.6632,0.6853,0.6655,0.6312,0.6708,0.6875,0.6605
0.6913,0.6933,0.6326,0.7078,0.6932,0.7073,0.6763,0.7065,0.6856,0.6918
0.6995,0.6892,0.7249,0.7073,0.706,0.6996,0.7157,0.7075,0.6953,0.6171
0.6795,0.6788,0.6615,0.6945,0.6848,0.7195,0.689,0.7076,0.6989,0.6458
0.6898,0.6537,0.688,0.6374,0.716,0.6866,0.7011,0.7082,0.6475,0.687
0.68,0.6452,0.7023,0.6806,0.6854,0.6954,0.664,0.7045,0.6904,0.7082
0.6801,0.6442,0.7146,0.6905,0.711,0.7066,0.669,0.6969,0.6959,0.6925
0.6656,0.7134,0.6939,0.7253,0.6766,0.6935,0.6922,0.6968,0.6838,0.7085
0.7185,0.7029,0.6936,0.7071,0.7287,0.7002,0.7197,0.728,0.7016,0.7095
0.7211,0.6717,0.7109,0.6922,0.7188,0.7068,0.7007,0.7038,0.7328,0.7148
0.701,0.7185,0.6729,0.7245,0.7188,0.7195,0.7189,0.6897,0.7149,0.7113
0.7236,0.711,0.7261,0.6684,0.5865,0.7111,0.7122,0.7087,0.6915,0.7166
0.7204,0.6893,0.6743,0.7124,0.7199,0.7029,0.7277,0.7167,0.7007,0.7277
0.7361,0.7203,0.7052,0.7499,0.7008,0.7313,0.7025,0.7329,0.7131,0.7099
0.6907,0.7239,0.7076,0.6892,0.7276,0.6678,0.7115,0.7035,0.6842,0.7321
0.7182,0.6923,0.717,0.7201,0.733,0.7382,0.705,0.718,0.7206,0.7346
0.7123,0.7122,0.7005,0.7193,0.689,0.7442,0.7143,0.7087,0.7264,0.7198
0.7328,0.7323,0.7143,0.7354,0.7168,0.7,0.6851,0.7237,0.7231,0.7591
0.7201,0.7444,0.7073,0.7356,0.6984,0.7102,0.728,0.7336,0.7318,0.7183
0.7354,0.724,0.7264,0.6819,0.7276,0.7404,0.7104,0.7288,0.72,0.7234
