EntropySampling_run_1,EntropySampling_run_2,EntropySampling_run_3,EntropySampling_run_4,EntropySampling_run_5,EntropySampling_run_6,EntropySampling_run_7,EntropySampling_run_8,EntropySampling_run_9,EntropySampling_run_10
0.1365,0.1135,0.1884,0.1135,0.255,0.2374,0.1028,0.121,0.2084,0.1549
0.2473,0.2403,0.205,0.2107,0.2492,0.1135,0.1972,0.1028,0.1168,0.2761
0.2321,0.212,0.1636,0.2641,0.2541,0.2579,0.3196,0.2252,0.3135,0.3268
0.2602,0.4074,0.3319,0.3011,0.3215,0.369,0.3025,0.274,0.2931,0.3239
0.4098,0.457,0.4488,0.2884,0.3901,0.3273,0.4531,0.3006,0.5873,0.3613
0.5078,0.3403,0.5823,0.4581,0.387,0.3955,0.3728,0.3731,0.406,0.5488
0.5869,0.6015,0.6114,0.4691,0.5974,0.5879,0.4776,0.5216,0.5997,0.6554
0.5807,0.6752,0.6352,0.586,0.5801,0.6188,0.5275,0.4896,0.5623,0.6479
0.5662,0.6062,0.7677,0.6807,0.5211,0.6803,0.6204,0.5658,0.7241,0.7916
0.7736,0.6692,0.78,0.7152,0.7131,0.735,0.6787,0.5826,0.772,0.7837
0.7905,0.8012,0.6639,0.7529,0.8058,0.7867,0.7223,0.7669,0.7475,0.7319
0.7736,0.758,0.7964,0.8078,0.7258,0.8292,0.7179,0.7603,0.7633,0.8245
0.7159,0.8695,0.7802,0.7746,0.7885,0.7633,0.7926,0.7331,0.7549,0.6688
0.778,0.6748,0.801,0.863,0.8389,0.7813,0.8352,0.8226,0.7595,0.7586
0.8088,0.8391,0.8105,0.8464,0.8621,0.8502,0.7933,0.8476,0.718,0.8684
0.8479,0.842,0.8625,0.8217,0.8871,0.8585,0.8504,0.8628,0.8495,0.8651
0.8209,0.8496,0.8366,0.8371,0.8644,0.8557,0.8539,0.867,0.8347,0.8377
0.8004,0.8323,0.8517,0.8746,0.8681,0.849,0.8375,0.8623,0.8396,0.9021
0.8578,0.8255,0.818,0.8908,0.9089,0.8351,0.8767,0.8793,0.8717,0.8901
0.8746,0.8813,0.8736,0.883,0.8955,0.854,0.894,0.882,0.8866,0.8158
0.8886,0.835,0.8981,0.9006,0.849,0.8918,0.8926,0.8861,0.9021,0.9055
0.8946,0.8976,0.8706,0.872,0.9012,0.8897,0.905,0.8634,0.8896,0.8699
0.8694,0.9022,0.877,0.8785,0.9192,0.8989,0.8474,0.9193,0.896,0.8978
0.8763,0.9182,0.8659,0.8753,0.9061,0.8921,0.9205,0.9077,0.883,0.893
0.8761,0.8858,0.8605,0.8902,0.9113,0.9024,0.9155,0.9209,0.9093,0.8747
0.9197,0.9034,0.9151,0.916,0.9305,0.9092,0.8994,0.9127,0.8915,0.9063
0.9239,0.8932,0.9104,0.9238,0.9029,0.9091,0.9373,0.9224,0.9034,0.9224
0.9191,0.9303,0.9264,0.9111,0.9307,0.9228,0.8922,0.9159,0.9053,0.9212
0.9061,0.9331,0.9281,0.9042,0.905,0.9323,0.9202,0.9286,0.928,0.9213
0.9229,0.9296,0.867,0.9035,0.9163,0.901,0.9193,0.9235,0.9398,0.9183
0.9311,0.9271,0.9311,0.8934,0.9355,0.9365,0.9393,0.9313,0.9118,0.9346
0.926,0.9366,0.9292,0.9145,0.9314,0.9262,0.9059,0.9381,0.9316,0.9354
0.9354,0.9242,0.9317,0.934,0.9389,0.9351,0.9331,0.9286,0.9275,0.9261
0.9423,0.9131,0.9407,0.927,0.9335,0.9241,0.9368,0.9182,0.9331,0.9481
0.9427,0.9402,0.9348,0.9393,0.9156,0.9319,0.9355,0.9118,0.9353,0.9355
0.9255,0.9371,0.9388,0.9357,0.9353,0.924,0.9371,0.9351,0.9447,0.9356
0.9424,0.9432,0.9354,0.9432,0.933,0.9393,0.9344,0.9397,0.9412,0.931
0.9362,0.9423,0.9247,0.9357,0.949,0.9492,0.9368,0.9397,0.9404,0.9364
0.941,0.9382,0.9378,0.9416,0.9411,0.9403,0.936,0.9452,0.9474,0.9435
0.92,0.9305,0.9155,0.9481,0.9408,0.9179,0.9503,0.9439,0.9389,0.951
0.9523,0.9489,0.9429,0.9523,0.948,0.9482,0.947,0.9472,0.9456,0.9515
0.9382,0.9481,0.9308,0.9463,0.9324,0.9513,0.936,0.9369,0.9354,0.9345
0.9498,0.9499,0.9487,0.9517,0.9534,0.9464,0.946,0.9455,0.9523,0.952
0.9415,0.9467,0.9469,0.9445,0.9412,0.9432,0.9466,0.9448,0.9461,0.9455
0.9351,0.942,0.9462,0.9535,0.9461,0.9448,0.949,0.9544,0.9517,0.9483
0.9453,0.952,0.9519,0.9553,0.9475,0.9532,0.9486,0.9477,0.9492,0.9449
0.9405,0.9485,0.9514,0.9437,0.9518,0.9463,0.9503,0.9437,0.9436,0.9372
0.9512,0.9507,0.9576,0.954,0.9509,0.9471,0.9519,0.9568,0.9565,0.9468
0.9509,0.9509,0.9488,0.9515,0.9473,0.9458,0.9528,0.9532,0.9493,0.9493
0.9502,0.9528,0.9486,0.9504,0.9518,0.9537,0.9472,0.9542,0.9529,0.9523
