HumanlikeLearning_I_run_1,HumanlikeLearning_I_run_2,HumanlikeLearning_I_run_3,HumanlikeLearning_I_run_4,HumanlikeLearning_I_run_5,HumanlikeLearning_I_run_6,HumanlikeLearning_I_run_7,HumanlikeLearning_I_run_8,HumanlikeLearning_I_run_9,HumanlikeLearning_I_run_10
0.6498,0.5825,0.6164,0.5476,0.4747,0.5917,0.5397,0.5936,0.6109,0.5614
0.5523,0.5543,0.5596,0.5754,0.6195,0.5452,0.585,0.6834,0.6134,0.5818
0.6221,0.5861,0.5491,0.6458,0.636,0.6513,0.5758,0.5749,0.5968,0.5415
0.6658,0.4887,0.5995,0.6359,0.6154,0.5843,0.5854,0.6069,0.6115,0.588
0.6331,0.6175,0.6225,0.642,0.6395,0.639,0.6706,0.6208,0.5902,0.5829
0.6523,0.6225,0.6544,0.6299,0.5995,0.6067,0.5948,0.6135,0.6001,0.6351
0.6591,0.6395,0.615,0.5634,0.635,0.6115,0.6451,0.565,0.6702,0.6467
0.6361,0.6624,0.6524,0.5434,0.6541,0.5704,0.5772,0.6315,0.6006,0.6773
0.666,0.6263,0.6707,0.6166,0.5913,0.6579,0.5985,0.6021,0.6274,0.6597
0.6831,0.644,0.6122,0.5686,0.6522,0.6688,0.5477,0.5843,0.6373,0.6661
0.6667,0.6296,0.6474,0.6209,0.6493,0.5974,0.6129,0.6498,0.5932,0.6323
0.6553,0.6137,0.6442,0.665,0.6785,0.6764,0.6452,0.6284,0.6285,0.6571
0.5964,0.6611,0.6784,0.6092,0.65,0.6677,0.6437,0.6517,0.6704,0.6693
0.6879,0.6553,0.6754,0.6694,0.6531,0.6239,0.6515,0.67,0.6607,0.6379
0.6723,0.666,0.5996,0.6574,0.6718,0.6755,0.5867,0.6669,0.6243,0.6297
0.6619,0.6429,0.6929,0.6481,0.6884,0.648,0.6558,0.679,0.6482,0.6878
0.6909,0.5966,0.6036,0.6845,0.6829,0.6875,0.6817,0.6438,0.6764,0.65
0.6938,0.6911,0.6715,0.687,0.6951,0.6978,0.708,0.706,0.6864,0.7007
0.7212,0.677,0.6022,0.7133,0.6999,0.681,0.6604,0.6797,0.6603,0.6806
0.6622,0.6974,0.6315,0.6899,0.698,0.6955,0.7152,0.6763,0.673,0.6926
0.6271,0.6472,0.7108,0.6632,0.6801,0.6501,0.6673,0.6896,0.6734,0.6899
0.6928,0.7048,0.6957,0.6918,0.6485,0.6563,0.6632,0.6922,0.6768,0.6884
0.6659,0.6848,0.697,0.6953,0.7219,0.685,0.7202,0.7083,0.6777,0.6849
0.6666,0.708,0.6537,0.6518,0.6855,0.7009,0.6501,0.6708,0.6597,0.687
0.6844,0.7211,0.6784,0.7037,0.6949,0.6718,0.6772,0.6649,0.7075,0.6828
0.6857,0.7166,0.6702,0.6916,0.6871,0.6647,0.6639,0.6959,0.6859,0.6475
0.7031,0.6947,0.6993,0.6019,0.6662,0.6955,0.7169,0.719,0.7051,0.7198
0.6806,0.6876,0.7044,0.7164,0.6806,0.6634,0.6794,0.7046,0.6992,0.7085
0.7085,0.6797,0.6842,0.7056,0.7003,0.696,0.7033,0.6839,0.7031,0.689
0.7108,0.6911,0.7105,0.7147,0.6767,0.7125,0.7225,0.7129,0.6972,0.7167
0.6685,0.6388,0.7195,0.65,0.6743,0.7153,0.6447,0.5844,0.6338,0.6891
0.707,0.6761,0.7374,0.6928,0.6705,0.7196,0.6984,0.6739,0.6566,0.6803
0.7126,0.6809,0.717,0.7337,0.6609,0.7196,0.6801,0.7255,0.7114,0.6698
0.7063,0.7288,0.718,0.6925,0.6873,0.6937,0.7029,0.7242,0.7059,0.7101
0.7223,0.7061,0.6498,0.7442,0.6659,0.7109,0.6914,0.6952,0.7088,0.7168
0.6688,0.6727,0.7029,0.732,0.7159,0.7098,0.7107,0.7095,0.735,0.7138
0.7098,0.7456,0.7068,0.7309,0.7284,0.7273,0.7279,0.6971,0.7331,0.7102
0.7411,0.7433,0.6799,0.7419,0.7207,0.7385,0.7167,0.7005,0.7144,0.7274
0.7489,0.738,0.6778,0.7321,0.7275,0.7305,0.7321,0.7218,0.7284,0.7209
0.7011,0.6644,0.7069,0.7231,0.7158,0.6754,0.6704,0.7328,0.7343,0.7402
0.7248,0.7211,0.7235,0.7324,0.7304,0.7394,0.6983,0.7198,0.7421,0.7143
0.7048,0.737,0.7138,0.7235,0.7393,0.7394,0.7367,0.7077,0.7003,0.7435
0.7345,0.748,0.7098,0.7326,0.7098,0.7534,0.6965,0.7345,0.7282,0.7377
0.6931,0.7338,0.7078,0.7417,0.6746,0.7366,0.7166,0.6936,0.7062,0.7354
0.7331,0.7238,0.7344,0.7414,0.7243,0.7259,0.7057,0.7305,0.7346,0.7292
0.7565,0.7517,0.7109,0.7187,0.724,0.7331,0.7324,0.7289,0.7411,0.7426
0.7207,0.7122,0.6439,0.6938,0.7112,0.73,0.7075,0.6967,0.7304,0.6542
0.7311,0.7307,0.7451,0.743,0.7222,0.7215,0.7256,0.7315,0.7224,0.7487
0.7299,0.7191,0.7431,0.7379,0.7306,0.7033,0.7367,0.7498,0.7032,0.7467
0.721,0.7387,0.7002,0.7578,0.721,0.7434,0.7443,0.7569,0.7347,0.7483
