LeastConfidence_run_1,LeastConfidence_run_2,LeastConfidence_run_3,LeastConfidence_run_4,LeastConfidence_run_5,LeastConfidence_run_6,LeastConfidence_run_7,LeastConfidence_run_8,LeastConfidence_run_9,LeastConfidence_run_10
0.3547,0.5092,0.3165,0.257,0.489,0.3984,0.4181,0.3581,0.3572,0.4988
0.2594,0.3057,0.4199,0.5309,0.2833,0.409,0.5187,0.3898,0.5344,0.4011
0.6012,0.2691,0.4307,0.4325,0.416,0.3523,0.5219,0.5293,0.285,0.4669
0.4499,0.4515,0.3195,0.5137,0.2145,0.3972,0.3259,0.3306,0.459,0.3968
0.4506,0.5104,0.3962,0.4607,0.5422,0.5414,0.3955,0.5086,0.5712,0.5311
0.5698,0.4136,0.5894,0.5017,0.5669,0.4528,0.3704,0.5502,0.2833,0.4287
0.5621,0.5409,0.4782,0.5892,0.5998,0.2004,0.5404,0.4085,0.5352,0.422
0.5403,0.4702,0.4722,0.4929,0.5299,0.4787,0.4906,0.5099,0.5486,0.5569
0.6013,0.3728,0.6189,0.5273,0.539,0.5339,0.5755,0.5537,0.5331,0.5583
0.5156,0.4464,0.5296,0.5779,0.5613,0.5587,0.4724,0.4136,0.5326,0.5659
0.5028,0.5205,0.4742,0.5385,0.6185,0.6252,0.517,0.524,0.5569,0.5732
0.6905,0.5191,0.5684,0.6388,0.5742,0.5591,0.4859,0.6039,0.6117,0.5835
0.5496,0.6238,0.6133,0.5755,0.6456,0.5508,0.5543,0.6557,0.5409,0.6626
0.5769,0.518,0.6093,0.5847,0.6323,0.6366,0.616,0.6569,0.6704,0.5155
0.5508,0.5688,0.5752,0.5036,0.6534,0.5395,0.6429,0.5074,0.6047,0.6016
0.5925,0.6423,0.6103,0.5485,0.5887,0.6899,0.6424,0.6282,0.653,0.5316
0.5735,0.5687,0.5162,0.4503,0.5084,0.6638,0.6635,0.6734,0.6132,0.6053
0.5891,0.6639,0.6398,0.6234,0.6413,0.6256,0.6146,0.686,0.6308,0.6616
0.691,0.613,0.6089,0.68,0.6042,0.6917,0.5967,0.6714,0.6803,0.6211
0.5956,0.6049,0.6144,0.6129,0.6461,0.5779,0.6552,0.5058,0.5528,0.6102
0.6917,0.6703,0.6627,0.5446,0.6894,0.683,0.6346,0.5812,0.6243,0.617
0.6188,0.6639,0.658,0.6525,0.6671,0.65,0.5584,0.6174,0.6011,0.5557
0.7096,0.6312,0.6771,0.6783,0.6417,0.6611,0.6698,0.6611,0.6529,0.6909
0.6769,0.6782,0.6769,0.7059,0.6937,0.6658,0.7037,0.6766,0.6736,0.6669
0.6522,0.6687,0.7028,0.7128,0.6843,0.709,0.6859,0.635,0.6563,0.6839
0.6934,0.7043,0.6778,0.6902,0.694,0.6916,0.6658,0.6981,0.6546,0.6663
0.6861,0.6918,0.6634,0.6905,0.697,0.6483,0.716,0.6439,0.6864,0.702
0.6893,0.6962,0.6886,0.6714,0.6932,0.6852,0.6427,0.6697,0.6912,0.6672
0.6561,0.6302,0.6796,0.6108,0.6741,0.6261,0.6982,0.6415,0.6557,0.7174
0.685,0.6935,0.6387,0.6849,0.6734,0.6762,0.6818,0.6859,0.7028,0.705
0.681,0.7068,0.7042,0.6558,0.699,0.6939,0.6763,0.6753,0.678,0.693
0.7112,0.6846,0.6201,0.695,0.6947,0.6974,0.7153,0.7005,0.6905,0.7033
0.6479,0.6975,0.7152,0.717,0.7002,0.7207,0.679,0.7168,0.666,0.7095
0.6762,0.6993,0.6899,0.681,0.685,0.7285,0.7076,0.6966,0.7063,0.6855
0.6464,0.6816,0.6858,0.6407,0.7111,0.6982,0.6828,0.7171,0.7,0.661
0.6738,0.6949,0.6941,0.678,0.6915,0.7089,0.5674,0.6691,0.6895,0.6699
0.7128,0.723,0.6862,0.7294,0.6896,0.6777,0.6722,0.6972,0.6448,0.6803
0.6644,0.7145,0.6734,0.7161,0.6832,0.7041,0.6958,0.6785,0.706,0.7127
0.7232,0.7315,0.6969,0.7033,0.7233,0.7149,0.7263,0.7116,0.6733,0.7065
0.6942,0.6386,0.7009,0.7142,0.7197,0.6544,0.6908,0.7207,0.7317,0.7212
0.6975,0.7346,0.7191,0.7215,0.7264,0.7034,0.7074,0.651,0.7081,0.6955
0.7315,0.6795,0.7319,0.678,0.7084,0.7125,0.718,0.6873,0.6795,0.7193
0.7073,0.7104,0.7017,0.7039,0.7254,0.7145,0.7413,0.7046,0.6922,0.723
0.7364,0.6509,0.6989,0.7331,0.7254,0.7468,0.6843,0.726,0.7018,0.727
0.7024,0.6825,0.7203,0.7378,0.6792,0.7461,0.728,0.705,0.6774,0.7117
0.7169,0.713,0.7022,0.7227,0.7412,0.7376,0.6987,0.7031,0.7276,0.735
0.6962,0.7188,0.711,0.6962,0.6923,0.6951,0.7281,0.6946,0.7242,0.7129
0.7118,0.7223,0.7092,0.7106,0.7202,0.7068,0.7264,0.7455,0.7268,0.7579
0.7234,0.7418,0.7081,0.7292,0.6988,0.7227,0.7144,0.7175,0.7395,0.7246
0.7298,0.7274,0.7331,0.7018,0.7544,0.7318,0.7165,0.737,0.7376,0.736
